0	26	7	26	22
1	373	373	373	1
2	12	6	12	12
3	1797	108	1797	472
4	2	2	2	2
5	798	306	798	24
6	1	1	1	1
7	12	12	12	1
8	532	264	532	73
9	75	7	75	74
10	11	10	11	10
11	5	5	5	4
12	60	14	60	60
13	95	30	95	4
14	106	75	106	47
15	25	9	25	8
16	1	1	1	1
17	5	4	5	3
18	8	6	8	3
19	51	28	51	30
20	40	27	40	14
21	41	7	41	40
22	2	2	2	2
23	8	6	8	8
24	52	52	52	2
25	4	1	4	4
26	112	111	112	3
27	48	25	48	39
28	34	29	34	25
29	44	16	44	30
30	343	90	343	88
31	8	5	8	6
32	126	120	126	6
33	60	28	60	54
34	21	20	21	12
35	47	7	47	46
36	1	1	1	1
37	297	272	297	297
38	19	19	19	4
39	71	2	71	69
40	6	1	6	6
41	15	12	15	10
42	2882	4	2882	2730
43	24	17	24	20
44	233	31	233	14
45	207	106	207	34
46	6	6	6	2
47	3	3	3	2
48	83	74	83	76
49	581	40	581	51
50	64	13	64	55
51	5	5	5	2
52	2154	208	2154	58
53	4198	3755	4198	100
54	300	300	300	84
55	1	1	1	1
56	378	378	378	1
57	2	2	2	2
58	692	258	692	161
59	334	176	334	57
60	390	6	390	374
61	2	1	2	2
62	1004	82	1004	295
63	1	1	1	1
64	218	185	218	103
65	7331	121	7331	1864
66	4	3	4	2
67	2	2	2	1
68	5	3	5	5
69	4	4	4	3
70	3	3	3	2
71	623	20	623	87
72	101	86	101	27
73	132	132	132	4
74	2257	815	2257	142
75	3	3	3	2
76	756	68	756	648
77	20	16	20	11
78	579	579	579	136
79	7	7	7	3
80	1	1	1	1
81	7	5	7	5
82	1	1	1	1
83	71	5	71	64
84	3	3	3	1
85	480	168	480	34
86	5927	2	5927	4891
87	39	39	39	2
88	8	3	8	8
89	404	45	404	312
90	1	1	1	1
91	6	6	6	2
92	13	13	13	1
93	5952	318	5952	1075
94	2	2	2	2
95	141	20	141	141
96	14	7	14	8
97	103	81	103	6
98	107	24	107	93
99	9	6	9	9
100	26	26	26	10
101	3	3	3	3
102	16	6	16	9
103	51	9	51	33
104	2591	1923	2591	510
105	3	3	3	2
106	62	4	62	58
107	44	44	44	1
108	5	5	5	1
109	11	10	11	7
110	5	4	5	4
111	3	1	3	3
112	5	2	5	4
113	1	1	1	1
114	1	1	1	1
115	17	8	17	17
116	34	25	34	29
117	2	2	2	2
118	536	73	536	270
119	74	26	74	39
120	144	133	144	31
121	1	1	1	1
122	22	17	22	14
123	80	5	80	77
124	16	13	16	12
125	2	1	2	2
126	218	124	218	44
127	23	18	23	2
128	1	1	1	1
129	51	45	51	16
130	2	2	2	2
131	19	6	19	6
132	4	4	4	4
133	40	20	40	8
134	108	12	108	12
135	1	1	1	1
136	9439	1574	9439	240
137	76	74	76	2
138	1	1	1	1
139	16	16	16	2
